# T/K; A/kJ
#           T           tot           vib           rot         trans          elec            mf          indi
 2.350000E+02 -1.388579E+00  6.742211E+01 -2.850433E+00 -1.479191E+01 -4.687412E+01 -1.691538E+01  1.262116E+01
 2.355000E+02 -1.412600E+00  6.741032E+01 -2.857287E+00 -1.482473E+01 -4.687408E+01 -1.691485E+01  1.264802E+01
 2.360000E+02 -1.436651E+00  6.739851E+01 -2.864143E+00 -1.485755E+01 -4.687403E+01 -1.691431E+01  1.267488E+01
 2.365000E+02 -1.460733E+00  6.738667E+01 -2.871001E+00 -1.489038E+01 -4.687398E+01 -1.691377E+01  1.270174E+01
 2.370000E+02 -1.484846E+00  6.737480E+01 -2.877862E+00 -1.492321E+01 -4.687393E+01 -1.691324E+01  1.272860E+01
 2.375000E+02 -1.508990E+00  6.736291E+01 -2.884724E+00 -1.495605E+01 -4.687388E+01 -1.691270E+01  1.275546E+01
 2.380000E+02 -1.533164E+00  6.735099E+01 -2.891588E+00 -1.498889E+01 -4.687383E+01 -1.691217E+01  1.278233E+01
 2.385000E+02 -1.557370E+00  6.733904E+01 -2.898454E+00 -1.502174E+01 -4.687378E+01 -1.691163E+01  1.280919E+01
 2.390000E+02 -1.581605E+00  6.732706E+01 -2.905322E+00 -1.505459E+01 -4.687372E+01 -1.691109E+01  1.283605E+01
 2.395000E+02 -1.605872E+00  6.731506E+01 -2.912193E+00 -1.508744E+01 -4.687366E+01 -1.691056E+01  1.286292E+01
 2.400000E+02 -1.630169E+00  6.730304E+01 -2.919065E+00 -1.512030E+01 -4.687360E+01 -1.691002E+01  1.288978E+01
 2.405000E+02 -1.654496E+00  6.729098E+01 -2.925939E+00 -1.515316E+01 -4.687354E+01 -1.690949E+01  1.291665E+01
 2.410000E+02 -1.678854E+00  6.727890E+01 -2.932816E+00 -1.518603E+01 -4.687348E+01 -1.690895E+01  1.294352E+01
 2.415000E+02 -1.703243E+00  6.726680E+01 -2.939694E+00 -1.521890E+01 -4.687341E+01 -1.690841E+01  1.297038E+01
 2.420000E+02 -1.727662E+00  6.725466E+01 -2.946575E+00 -1.525178E+01 -4.687335E+01 -1.690788E+01  1.299725E+01
 2.425000E+02 -1.752112E+00  6.724250E+01 -2.953458E+00 -1.528466E+01 -4.687328E+01 -1.690734E+01  1.302412E+01
 2.430000E+02 -1.776592E+00  6.723032E+01 -2.960343E+00 -1.531754E+01 -4.687321E+01 -1.690680E+01  1.305099E+01
 2.435000E+02 -1.801102E+00  6.721810E+01 -2.967230E+00 -1.535043E+01 -4.687313E+01 -1.690627E+01  1.307786E+01
 2.440000E+02 -1.825643E+00  6.720586E+01 -2.974119E+00 -1.538333E+01 -4.687306E+01 -1.690573E+01  1.310473E+01
 2.445000E+02 -1.850215E+00  6.719360E+01 -2.981011E+00 -1.541623E+01 -4.687298E+01 -1.690519E+01  1.313160E+01
 2.450000E+02 -1.874817E+00  6.718131E+01 -2.987904E+00 -1.544913E+01 -4.687290E+01 -1.690466E+01  1.315847E+01
 2.455000E+02 -1.899449E+00  6.716899E+01 -2.994800E+00 -1.548204E+01 -4.687282E+01 -1.690412E+01  1.318535E+01
 2.460000E+02 -1.924111E+00  6.715664E+01 -3.001698E+00 -1.551496E+01 -4.687273E+01 -1.690358E+01  1.321222E+01
 2.465000E+02 -1.948804E+00  6.714427E+01 -3.008598E+00 -1.554788E+01 -4.687264E+01 -1.690304E+01  1.323909E+01
 2.470000E+02 -1.973527E+00  6.713187E+01 -3.015500E+00 -1.558081E+01 -4.687255E+01 -1.690251E+01  1.326597E+01
 2.475000E+02 -1.998280E+00  6.711944E+01 -3.022405E+00 -1.561374E+01 -4.687246E+01 -1.690197E+01  1.329285E+01
 2.480000E+02 -2.023063E+00  6.710699E+01 -3.029312E+00 -1.564667E+01 -4.687236E+01 -1.690143E+01  1.331973E+01
 2.485000E+02 -2.047877E+00  6.709451E+01 -3.036221E+00 -1.567961E+01 -4.687226E+01 -1.690090E+01  1.334661E+01
 2.490000E+02 -2.072721E+00  6.708201E+01 -3.043133E+00 -1.571256E+01 -4.687216E+01 -1.690036E+01  1.337349E+01
 2.495000E+02 -2.097595E+00  6.706947E+01 -3.050047E+00 -1.574551E+01 -4.687206E+01 -1.689982E+01  1.340037E+01
 2.500000E+02 -2.122499E+00  6.705692E+01 -3.056963E+00 -1.577847E+01 -4.687195E+01 -1.689928E+01  1.342725E+01
 2.505000E+02 -2.147433E+00  6.704433E+01 -3.063882E+00 -1.581143E+01 -4.687184E+01 -1.689875E+01  1.345413E+01
 2.510000E+02 -2.172397E+00  6.703172E+01 -3.070802E+00 -1.584440E+01 -4.687172E+01 -1.689821E+01  1.348102E+01
 2.515000E+02 -2.197392E+00  6.701908E+01 -3.077726E+00 -1.587738E+01 -4.687161E+01 -1.689767E+01  1.350791E+01
 2.520000E+02 -2.222416E+00  6.700642E+01 -3.084652E+00 -1.591036E+01 -4.687149E+01 -1.689713E+01  1.353479E+01
 2.525000E+02 -2.247471E+00  6.699373E+01 -3.091580E+00 -1.594335E+01 -4.687136E+01 -1.689659E+01  1.356168E+01
 2.530000E+02 -2.272555E+00  6.698101E+01 -3.098510E+00 -1.597634E+01 -4.687123E+01 -1.689606E+01  1.358858E+01
 2.535000E+02 -2.297670E+00  6.696826E+01 -3.105444E+00 -1.600934E+01 -4.687110E+01 -1.689552E+01  1.361547E+01
 2.540000E+02 -2.322814E+00  6.695549E+01 -3.112379E+00 -1.604234E+01 -4.687097E+01 -1.689498E+01  1.364236E+01
 2.545000E+02 -2.347988E+00  6.694269E+01 -3.119318E+00 -1.607536E+01 -4.687083E+01 -1.689444E+01  1.366926E+01
 2.550000E+02 -2.373193E+00  6.692987E+01 -3.126258E+00 -1.610837E+01 -4.687069E+01 -1.689390E+01  1.369616E+01
 2.555000E+02 -2.398427E+00  6.691702E+01 -3.133202E+00 -1.614140E+01 -4.687054E+01 -1.689336E+01  1.372306E+01
 2.560000E+02 -2.423691E+00  6.690414E+01 -3.140148E+00 -1.617443E+01 -4.687039E+01 -1.689282E+01  1.374996E+01
 2.565000E+02 -2.448985E+00  6.689124E+01 -3.147096E+00 -1.620747E+01 -4.687023E+01 -1.689228E+01  1.377686E+01
 2.570000E+02 -2.474309E+00  6.687831E+01 -3.154047E+00 -1.624052E+01 -4.687007E+01 -1.689175E+01  1.380377E+01
 2.575000E+02 -2.499662E+00  6.686535E+01 -3.161001E+00 -1.627357E+01 -4.686991E+01 -1.689121E+01  1.383067E+01
 2.580000E+02 -2.525046E+00  6.685236E+01 -3.167958E+00 -1.630663E+01 -4.686974E+01 -1.689067E+01  1.385758E+01
 2.585000E+02 -2.550459E+00  6.683935E+01 -3.174917E+00 -1.633970E+01 -4.686957E+01 -1.689013E+01  1.388450E+01
 2.590000E+02 -2.575902E+00  6.682632E+01 -3.181880E+00 -1.637277E+01 -4.686939E+01 -1.688959E+01  1.391141E+01
 2.595000E+02 -2.601375E+00  6.681325E+01 -3.188845E+00 -1.640586E+01 -4.686920E+01 -1.688905E+01  1.393833E+01
 2.600000E+02 -2.626877E+00  6.680016E+01 -3.195812E+00 -1.643895E+01 -4.686902E+01 -1.688851E+01  1.396525E+01
 2.605000E+02 -2.652409E+00  6.678704E+01 -3.202783E+00 -1.647204E+01 -4.686882E+01 -1.688797E+01  1.399217E+01
 2.610000E+02 -2.677971E+00  6.677390E+01 -3.209757E+00 -1.650515E+01 -4.686863E+01 -1.688743E+01  1.401909E+01
 2.615000E+02 -2.703563E+00  6.676073E+01 -3.216733E+00 -1.653826E+01 -4.686842E+01 -1.688689E+01  1.404602E+01
 2.620000E+02 -2.729184E+00  6.674753E+01 -3.223713E+00 -1.657139E+01 -4.686821E+01 -1.688635E+01  1.407295E+01
 2.625000E+02 -2.754835E+00  6.673430E+01 -3.230695E+00 -1.660452E+01 -4.686800E+01 -1.688581E+01  1.409988E+01
 2.630000E+02 -2.780515E+00  6.672105E+01 -3.237681E+00 -1.663766E+01 -4.686778E+01 -1.688527E+01  1.412682E+01
 2.635000E+02 -2.806225E+00  6.670777E+01 -3.244670E+00 -1.667081E+01 -4.686755E+01 -1.688473E+01  1.415375E+01
 2.640000E+02 -2.831965E+00  6.669447E+01 -3.251662E+00 -1.670396E+01 -4.686732E+01 -1.688419E+01  1.418070E+01
 2.645000E+02 -2.857734E+00  6.668114E+01 -3.258657E+00 -1.673713E+01 -4.686708E+01 -1.688365E+01  1.420764E+01
 2.650000E+02 -2.883533E+00  6.666778E+01 -3.265655E+00 -1.677030E+01 -4.686684E+01 -1.688310E+01  1.423459E+01
 2.655000E+02 -2.909362E+00  6.665439E+01 -3.272656E+00 -1.680349E+01 -4.686659E+01 -1.688256E+01  1.426154E+01
 2.660000E+02 -2.935220E+00  6.664098E+01 -3.279661E+00 -1.683668E+01 -4.686633E+01 -1.688202E+01  1.428850E+01
 2.665000E+02 -2.961107E+00  6.662754E+01 -3.286669E+00 -1.686989E+01 -4.686606E+01 -1.688148E+01  1.431545E+01
 2.670000E+02 -2.987024E+00  6.661407E+01 -3.293680E+00 -1.690310E+01 -4.686579E+01 -1.688094E+01  1.434242E+01
 2.675000E+02 -3.012970E+00  6.660058E+01 -3.300695E+00 -1.693632E+01 -4.686551E+01 -1.688040E+01  1.436938E+01
 2.680000E+02 -3.038946E+00  6.658706E+01 -3.307714E+00 -1.696956E+01 -4.686523E+01 -1.687985E+01  1.439635E+01
 2.685000E+02 -3.064952E+00  6.657351E+01 -3.314735E+00 -1.700280E+01 -4.686494E+01 -1.687931E+01  1.442333E+01
 2.690000E+02 -3.090986E+00  6.655993E+01 -3.321761E+00 -1.703606E+01 -4.686464E+01 -1.687877E+01  1.445031E+01
 2.695000E+02 -3.117051E+00  6.654633E+01 -3.328790E+00 -1.706933E+01 -4.686433E+01 -1.687823E+01  1.447729E+01
 2.700000E+02 -3.143144E+00  6.653270E+01 -3.335822E+00 -1.710260E+01 -4.686401E+01 -1.687768E+01  1.450428E+01
 2.705000E+02 -3.169267E+00  6.651905E+01 -3.342859E+00 -1.713589E+01 -4.686369E+01 -1.687714E+01  1.453127E+01
 2.710000E+02 -3.195420E+00  6.650536E+01 -3.349899E+00 -1.716919E+01 -4.686336E+01 -1.687660E+01  1.455827E+01
 2.715000E+02 -3.221601E+00  6.649165E+01 -3.356943E+00 -1.720250E+01 -4.686302E+01 -1.687606E+01  1.458527E+01
 2.720000E+02 -3.247813E+00  6.647791E+01 -3.363991E+00 -1.723583E+01 -4.686267E+01 -1.687551E+01  1.461227E+01
 2.725000E+02 -3.274053E+00  6.646415E+01 -3.371043E+00 -1.726916E+01 -4.686231E+01 -1.687497E+01  1.463929E+01
 2.730000E+02 -3.300323E+00  6.645036E+01 -3.378098E+00 -1.730251E+01 -4.686195E+01 -1.687442E+01  1.466630E+01
 2.735000E+02 -3.326622E+00  6.643654E+01 -3.385158E+00 -1.733587E+01 -4.686157E+01 -1.687388E+01  1.469333E+01
 2.740000E+02 -3.352951E+00  6.642269E+01 -3.392222E+00 -1.736925E+01 -4.686119E+01 -1.687334E+01  1.472035E+01
 2.745000E+02 -3.379308E+00  6.640881E+01 -3.399290E+00 -1.740264E+01 -4.686079E+01 -1.687279E+01  1.474739E+01
 2.750000E+02 -3.405696E+00  6.639491E+01 -3.406363E+00 -1.743604E+01 -4.686039E+01 -1.687225E+01  1.477443E+01
 2.755000E+02 -3.432112E+00  6.638098E+01 -3.413439E+00 -1.746945E+01 -4.685997E+01 -1.687170E+01  1.480147E+01
 2.760000E+02 -3.458558E+00  6.636702E+01 -3.420520E+00 -1.750288E+01 -4.685955E+01 -1.687116E+01  1.482853E+01
 2.765000E+02 -3.485033E+00  6.635304E+01 -3.427606E+00 -1.753632E+01 -4.685912E+01 -1.687061E+01  1.485559E+01
 2.770000E+02 -3.511537E+00  6.633903E+01 -3.434696E+00 -1.756978E+01 -4.685867E+01 -1.687006E+01  1.488265E+01
 2.775000E+02 -3.538070E+00  6.632499E+01 -3.441790E+00 -1.760325E+01 -4.685822E+01 -1.686952E+01  1.490972E+01
 2.780000E+02 -3.564633E+00  6.631092E+01 -3.448889E+00 -1.763674E+01 -4.685775E+01 -1.686897E+01  1.493680E+01
 2.785000E+02 -3.591225E+00  6.629682E+01 -3.455993E+00 -1.767024E+01 -4.685727E+01 -1.686843E+01  1.496389E+01
 2.790000E+02 -3.617846E+00  6.628270E+01 -3.463102E+00 -1.770376E+01 -4.685679E+01 -1.686788E+01  1.499098E+01
 2.795000E+02 -3.644496E+00  6.626855E+01 -3.470215E+00 -1.773730E+01 -4.685629E+01 -1.686733E+01  1.501808E+01
 2.800000E+02 -3.671176E+00  6.625437E+01 -3.477334E+00 -1.777085E+01 -4.685577E+01 -1.686678E+01  1.504519E+01
 2.805000E+02 -3.697885E+00  6.624016E+01 -3.484457E+00 -1.780441E+01 -4.685525E+01 -1.686624E+01  1.507231E+01
 2.810000E+02 -3.724623E+00  6.622593E+01 -3.491586E+00 -1.783800E+01 -4.685471E+01 -1.686569E+01  1.509944E+01
 2.815000E+02 -3.751390E+00  6.621166E+01 -3.498719E+00 -1.787160E+01 -4.685416E+01 -1.686514E+01  1.512657E+01
 2.820000E+02 -3.778186E+00  6.619737E+01 -3.505858E+00 -1.790522E+01 -4.685360E+01 -1.686459E+01  1.515371E+01
 2.825000E+02 -3.805012E+00  6.618305E+01 -3.513003E+00 -1.793886E+01 -4.685303E+01 -1.686404E+01  1.518087E+01
 2.830000E+02 -3.831866E+00  6.616870E+01 -3.520153E+00 -1.797251E+01 -4.685244E+01 -1.686349E+01  1.520803E+01
 2.835000E+02 -3.858750E+00  6.615433E+01 -3.527308E+00 -1.800619E+01 -4.685184E+01 -1.686294E+01  1.523520E+01
 2.840000E+02 -3.885663E+00  6.613992E+01 -3.534469E+00 -1.803988E+01 -4.685122E+01 -1.686239E+01  1.526238E+01
 2.845000E+02 -3.912605E+00  6.612549E+01 -3.541635E+00 -1.807359E+01 -4.685059E+01 -1.686184E+01  1.528957E+01
 2.850000E+02 -3.939577E+00  6.611103E+01 -3.548808E+00 -1.810732E+01 -4.684995E+01 -1.686129E+01  1.531676E+01
 2.855000E+02 -3.966577E+00  6.609654E+01 -3.555986E+00 -1.814108E+01 -4.684929E+01 -1.686074E+01  1.534397E+01
 2.860000E+02 -3.993607E+00  6.608202E+01 -3.563170E+00 -1.817485E+01 -4.684861E+01 -1.686019E+01  1.537120E+01
 2.865000E+02 -4.020666E+00  6.606748E+01 -3.570360E+00 -1.820865E+01 -4.684792E+01 -1.685964E+01  1.539843E+01
 2.870000E+02 -4.047754E+00  6.605290E+01 -3.577557E+00 -1.824246E+01 -4.684722E+01 -1.685909E+01  1.542567E+01
 2.875000E+02 -4.074871E+00  6.603830E+01 -3.584760E+00 -1.827630E+01 -4.684650E+01 -1.685854E+01  1.545292E+01
 2.880000E+02 -4.102017E+00  6.602366E+01 -3.591969E+00 -1.831016E+01 -4.684576E+01 -1.685798E+01  1.548019E+01
 2.885000E+02 -4.129192E+00  6.600900E+01 -3.599184E+00 -1.834404E+01 -4.684501E+01 -1.685743E+01  1.550747E+01
 2.890000E+02 -4.156397E+00  6.599431E+01 -3.606407E+00 -1.837795E+01 -4.684423E+01 -1.685688E+01  1.553476E+01
 2.895000E+02 -4.183631E+00  6.597959E+01 -3.613636E+00 -1.841188E+01 -4.684345E+01 -1.685632E+01  1.556206E+01
 2.900000E+02 -4.210893E+00  6.596484E+01 -3.620871E+00 -1.844583E+01 -4.684264E+01 -1.685577E+01  1.558938E+01
 2.905000E+02 -4.238185E+00  6.595007E+01 -3.628114E+00 -1.847981E+01 -4.684182E+01 -1.685522E+01  1.561671E+01
 2.910000E+02 -4.265507E+00  6.593526E+01 -3.635364E+00 -1.851381E+01 -4.684098E+01 -1.685466E+01  1.564405E+01
 2.915000E+02 -4.292857E+00  6.592042E+01 -3.642621E+00 -1.854784E+01 -4.684012E+01 -1.685411E+01  1.567141E+01
 2.920000E+02 -4.320236E+00  6.590556E+01 -3.649885E+00 -1.858189E+01 -4.683924E+01 -1.685355E+01  1.569878E+01
 2.925000E+02 -4.347645E+00  6.589066E+01 -3.657157E+00 -1.861597E+01 -4.683834E+01 -1.685299E+01  1.572616E+01
 2.930000E+02 -4.375083E+00  6.587574E+01 -3.664436E+00 -1.865008E+01 -4.683743E+01 -1.685244E+01  1.575356E+01
 2.935000E+02 -4.402550E+00  6.586078E+01 -3.671723E+00 -1.868422E+01 -4.683649E+01 -1.685188E+01  1.578098E+01
 2.940000E+02 -4.430046E+00  6.584580E+01 -3.679017E+00 -1.871838E+01 -4.683553E+01 -1.685132E+01  1.580841E+01
 2.945000E+02 -4.457571E+00  6.583078E+01 -3.686320E+00 -1.875257E+01 -4.683455E+01 -1.685076E+01  1.583586E+01
 2.950000E+02 -4.485125E+00  6.581574E+01 -3.693631E+00 -1.878679E+01 -4.683356E+01 -1.685020E+01  1.586332E+01
 2.955000E+02 -4.512709E+00  6.580066E+01 -3.700949E+00 -1.882104E+01 -4.683254E+01 -1.684964E+01  1.589080E+01
 2.960000E+02 -4.540322E+00  6.578556E+01 -3.708276E+00 -1.885533E+01 -4.683149E+01 -1.684909E+01  1.591830E+01
 2.965000E+02 -4.567964E+00  6.577043E+01 -3.715612E+00 -1.888964E+01 -4.683043E+01 -1.684852E+01  1.594581E+01
 2.970000E+02 -4.595635E+00  6.575526E+01 -3.722956E+00 -1.892398E+01 -4.682935E+01 -1.684796E+01  1.597335E+01
 2.975000E+02 -4.623336E+00  6.574007E+01 -3.730309E+00 -1.895835E+01 -4.682824E+01 -1.684740E+01  1.600090E+01
 2.980000E+02 -4.651065E+00  6.572484E+01 -3.737671E+00 -1.899276E+01 -4.682710E+01 -1.684684E+01  1.602847E+01
 2.985000E+02 -4.678824E+00  6.570959E+01 -3.745042E+00 -1.902720E+01 -4.682595E+01 -1.684628E+01  1.605606E+01
